Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID308314,308314,2,20.276,379.593,213.954,0,55,55,5,1,-10921639,94.381,38,14,255,9155,93.670,5.075,0.841,0.921
ID308315,308315,1,21.167,263.960,277.328,0,55,55,5,1,-10921639,118.856,59,8,255,11529,107.757,8.959,0.888,1.037
ID308316,308316,0,10.543,266.968,125.159,0,56,56,5,1,-10921639,34.278,4,1,255,3325,73.907,2.530,0.912,0.442
ID308317,308317,2,20.705,378.085,215.864,0,56,56,5,1,-10921639,95.732,43,13,255,9286,94.999,5.062,0.845,0.923
ID308318,308318,1,21.269,258.213,271.788,0,56,56,5,1,-10921639,120.227,66,9,255,11662,107.822,8.957,0.874,1.040
ID308320,308320,2,20.728,376.407,217.991,0,57,57,5,1,-10921639,98.010,49,13,255,9507,94.933,5.109,0.844,0.945
ID308321,308321,1,21.522,252.838,266.347,0,57,57,5,1,-10921639,120.969,62,8,255,11734,106.873,8.894,0.856,1.044
ID308319,308319,0,10.482,267.047,125.166,0,57,57,5,1,-10921639,34.144,4,1,255,3312,73.751,2.532,0.907,0.440
ID308324,308324,1,21.228,247.822,260.949,0,58,58,5,1,-10921639,115.619,64,9,255,11215,101.638,8.813,0.880,1.065
ID308322,308322,0,10.554,267.105,125.217,0,58,58,5,1,-10921639,34.330,4,1,255,3330,74.238,2.532,0.916,0.442
ID308323,308323,2,21.042,374.451,220.422,0,58,58,5,1,-10921639,101.412,48,11,255,9837,98.355,5.250,0.848,0.946
ID308325,308325,0,10.651,267.194,125.259,0,59,59,5,1,-10921639,34.835,4,1,255,3379,74.606,2.509,0.914,0.446
ID308326,308326,2,21.305,372.337,222.895,0,59,59,5,1,-10921639,101.959,44,13,255,9890,96.935,5.097,0.849,0.966
ID308327,308327,1,21.489,243.201,255.699,0,59,59,5,1,-10921639,113.072,55,8,255,10968,105.074,8.740,0.892,1.015
ID308328,308328,0,10.602,267.280,125.339,0,60,60,5,1,-10921639,34.907,4,1,255,3386,73.943,2.000,0.916,0.451
ID308329,308329,2,21.393,369.822,225.634,0,60,60,5,1,-10921639,104.031,56,12,255,10091,98.053,5.185,0.852,0.976
ID308330,308330,1,21.225,238.818,250.623,0,60,60,5,1,-10921639,109.990,51,9,255,10669,104.412,5.045,0.894,0.995
ID308332,308332,2,21.470,367.094,228.467,0,61,61,5,1,-10921639,105.340,55,12,255,10218,98.642,5.188,0.851,0.982
ID308333,308333,1,21.292,234.765,245.840,0,61,61,5,1,-10921639,107.474,54,10,255,10425,101.216,5.066,0.889,1.000
ID308331,308331,0,10.674,267.293,125.438,0,61,61,5,1,-10921639,35.546,4,1,255,3448,74.693,2.000,0.912,0.454
ID308336,308336,1,21.614,230.849,241.164,0,62,62,5,1,-10921639,107.330,46,10,255,10411,103.603,5.092,0.889,0.975
ID308334,308334,0,10.733,267.326,125.509,0,62,62,5,1,-10921639,35.804,4,1,255,3473,75.378,2.000,0.919,0.455
ID308335,308335,2,21.670,364.094,231.353,0,62,62,5,1,-10921639,106.928,52,13,255,10372,99.131,5.163,0.852,0.992
ID308337,308337,0,10.893,267.400,125.515,0,63,63,5,1,-10921639,36.433,4,1,255,3534,76.935,2.000,0.918,0.453
ID308338,308338,2,21.876,360.948,234.241,0,63,63,5,1,-10921639,108.052,57,14,255,10481,99.016,5.114,0.853,1.004
ID308339,308339,1,21.567,227.191,236.766,0,63,63,5,1,-10921639,106.062,42,9,255,10288,104.157,5.096,0.888,0.958
ID308340,308340,0,10.872,267.469,125.486,0,64,64,5,1,-10921639,36.557,4,1,255,3546,76.984,2.000,0.913,0.453
ID308341,308341,1,20.831,223.740,232.691,0,64,64,5,1,-10921639,99.856,47,9,255,9686,99.417,5.046,0.883,0.942
ID308342,308342,2,21.487,357.488,237.099,0,64,64,5,1,-10921639,108.052,51,13,255,10481,96.867,5.130,0.849,1.024
ID308344,308344,1,21.069,220.324,228.835,0,65,65,5,1,-10921639,99.072,36,7,255,9610,103.123,5.087,0.893,0.906
ID308345,308345,2,21.984,353.885,239.834,0,65,65,5,1,-10921639,111.072,56,14,255,10774,99.124,5.126,0.845,1.026
ID308343,308343,0,10.795,267.441,125.453,0,65,65,5,1,-10921639,36.113,4,1,255,3503,76.174,2.000,0.916,0.453
ID308348,308348,2,21.699,349.878,242.638,0,66,66,5,1,-10921639,110.907,59,13,255,10758,98.724,5.176,0.835,1.022
ID308346,308346,0,10.664,267.329,125.381,0,66,66,5,1,-10921639,35.392,4,1,255,3433,74.456,2.000,0.910,0.453
ID308347,308347,1,20.924,217.031,225.384,0,66,66,5,1,-10921639,97.062,36,6,255,9415,102.533,5.050,0.894,0.894
